'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0:00.874',0.531,0.496,-0.035,-0.514,0.283,0.231,0.188,-0.017,0.601,0.364,-0.037,0.085,0.019,0.179,-0.099
'0:00.875',0.539,0.512,-0.026,-0.526,0.282,0.243,0.182,-0.023,0.593,0.356,-0.044,0.082,0.018,0.179,-0.096
'0:00.876',0.539,0.517,-0.021,-0.528,0.280,0.248,0.174,-0.030,0.586,0.351,-0.049,0.077,0.014,0.185,-0.093
'0:00.877',0.535,0.517,-0.018,-0.526,0.277,0.249,0.172,-0.036,0.582,0.348,-0.046,0.079,0.012,0.193,-0.093
'0:00.878',0.535,0.517,-0.018,-0.526,0.277,0.250,0.174,-0.036,0.577,0.343,-0.051,0.077,0.009,0.197,-0.086
'0:00.879',0.530,0.527,-0.003,-0.529,0.267,0.263,0.171,-0.041,0.572,0.343,-0.050,0.083,0.008,0.196,-0.085
'0:00.880',0.524,0.525,0.002,-0.524,0.261,0.264,0.164,-0.049,0.561,0.337,-0.052,0.085,0.012,0.200,-0.082
'0:00.881',0.526,0.519,-0.006,-0.523,0.267,0.257,0.161,-0.054,0.554,0.328,-0.062,0.070,0.002,0.204,-0.075
'0:00.882',0.520,0.516,-0.004,-0.518,0.262,0.257,0.155,-0.060,0.547,0.323,-0.065,0.070,0.003,0.199,-0.072
'0:00.883',0.506,0.510,0.004,-0.508,0.252,0.257,0.151,-0.065,0.539,0.317,-0.069,0.072,0.007,0.204,-0.068
'0:00.884',0.522,0.534,0.012,-0.528,0.255,0.273,0.146,-0.071,0.535,0.317,-0.068,0.075,0.004,0.214,-0.068
'0:00.885',0.521,0.536,0.015,-0.528,0.253,0.276,0.145,-0.075,0.528,0.311,-0.070,0.077,0.004,0.215,-0.061
'0:00.886',0.498,0.520,0.023,-0.509,0.237,0.272,0.139,-0.088,0.510,0.297,-0.083,0.072,-0.003,0.217,-0.051
'0:00.887',0.497,0.529,0.033,-0.513,0.232,0.281,0.138,-0.090,0.504,0.292,-0.087,0.068,-0.010,0.217,-0.049
'0:00.888',0.503,0.533,0.031,-0.518,0.236,0.282,0.131,-0.101,0.494,0.282,-0.093,0.065,-0.006,0.217,-0.043
'0:00.889',0.493,0.524,0.033,-0.509,0.231,0.279,0.107,-0.124,0.473,0.265,-0.108,0.053,-0.015,0.220,-0.037
'0:00.890',0.487,0.540,0.053,-0.514,0.217,0.296,0.117,-0.115,0.473,0.269,-0.103,0.062,-0.021,0.234,-0.038
'0:00.891',0.499,0.547,0.049,-0.523,0.226,0.298,0.120,-0.117,0.467,0.261,-0.108,0.066,-0.013,0.231,-0.026
'0:00.892',0.501,0.547,0.047,-0.524,0.227,0.297,0.108,-0.127,0.456,0.251,-0.123,0.056,-0.019,0.230,-0.019
'0:00.893',0.492,0.551,0.060,-0.521,0.216,0.305,0.109,-0.128,0.451,0.247,-0.123,0.058,-0.024,0.246,-0.021
'0:00.894',0.503,0.558,0.056,-0.531,0.224,0.307,0.095,-0.141,0.442,0.240,-0.128,0.060,-0.024,0.243,-0.015
'0:00.895',0.509,0.576,0.067,-0.542,0.221,0.321,0.089,-0.145,0.436,0.236,-0.130,0.062,-0.026,0.255,-0.013
'0:00.896',0.486,0.562,0.076,-0.524,0.205,0.320,0.093,-0.152,0.422,0.223,-0.140,0.058,-0.025,0.271,-0.005
'0:00.897',0.478,0.555,0.077,-0.517,0.201,0.317,0.083,-0.165,0.407,0.210,-0.151,0.052,-0.032,0.270,0.002
'0:00.898',0.481,0.564,0.084,-0.523,0.199,0.324,0.082,-0.164,0.403,0.206,-0.156,0.050,-0.043,0.271,-0.002
'0:00.899',0.483,0.574,0.091,-0.528,0.196,0.333,0.080,-0.169,0.399,0.204,-0.156,0.053,-0.041,0.267,0.003
'0:00.900',0.483,0.571,0.088,-0.527,0.198,0.330,0.066,-0.181,0.385,0.189,-0.166,0.048,-0.037,0.267,0.013
'0:00.901',0.477,0.567,0.090,-0.522,0.194,0.329,0.059,-0.191,0.368,0.173,-0.181,0.037,-0.046,0.270,0.021
'0:00.902',0.467,0.570,0.103,-0.518,0.181,0.337,0.061,-0.193,0.360,0.171,-0.184,0.039,-0.051,0.267,0.025
'0:00.903',0.471,0.586,0.115,-0.528,0.178,0.350,0.062,-0.196,0.356,0.168,-0.184,0.046,-0.058,0.274,0.020
'0:00.904',0.479,0.596,0.117,-0.537,0.180,0.357,0.051,-0.206,0.344,0.159,-0.191,0.045,-0.058,0.283,0.029
'0:00.905',0.472,0.584,0.112,-0.528,0.180,0.347,0.045,-0.212,0.334,0.151,-0.193,0.047,-0.044,0.281,0.043
'0:00.906',0.474,0.584,0.111,-0.529,0.181,0.347,0.041,-0.221,0.322,0.140,-0.202,0.043,-0.052,0.277,0.047
'0:00.907',0.464,0.581,0.117,-0.522,0.173,0.349,0.037,-0.231,0.309,0.129,-0.213,0.030,-0.065,0.280,0.050
'0:00.908',0.460,0.585,0.126,-0.522,0.168,0.355,0.030,-0.237,0.303,0.123,-0.220,0.029,-0.070,0.285,0.052
'0:00.909',0.467,0.595,0.129,-0.530,0.169,0.362,0.023,-0.241,0.295,0.118,-0.221,0.033,-0.067,0.290,0.059
'0:00.910',0.469,0.598,0.130,-0.533,0.170,0.363,0.019,-0.246,0.283,0.110,-0.226,0.029,-0.064,0.288,0.070
'0:00.911',0.469,0.604,0.135,-0.536,0.168,0.369,0.015,-0.255,0.273,0.102,-0.232,0.033,-0.066,0.295,0.073
'0:00.912',0.469,0.610,0.141,-0.539,0.163,0.376,0.009,-0.264,0.263,0.092,-0.239,0.029,-0.075,0.304,0.074
'0:00.913',0.469,0.614,0.146,-0.541,0.161,0.380,0.009,-0.264,0.254,0.084,-0.248,0.026,-0.082,0.298,0.078
'0:00.914',0.463,0.612,0.150,-0.537,0.156,0.381,0.005,-0.273,0.242,0.079,-0.248,0.039,-0.073,0.297,0.086
'0:00.915',0.457,0.603,0.146,-0.529,0.155,0.374,-0.015,-0.292,0.220,0.058,-0.269,0.015,-0.082,0.300,0.095
'0:00.916',0.460,0.608,0.148,-0.534,0.156,0.378,-0.020,-0.290,0.212,0.050,-0.276,0.013,-0.083,0.304,0.099
'0:00.917',0.459,0.617,0.158,-0.538,0.150,0.387,-0.018,-0.294,0.208,0.048,-0.274,0.019,-0.088,0.311,0.099
'0:00.918',0.449,0.605,0.157,-0.527,0.146,0.381,-0.021,-0.303,0.197,0.038,-0.281,0.013,-0.096,0.308,0.104
'0:00.919',0.447,0.601,0.155,-0.524,0.145,0.378,-0.025,-0.310,0.186,0.029,-0.286,0.015,-0.091,0.308,0.113
'0:00.920',0.444,0.604,0.161,-0.524,0.142,0.382,-0.033,-0.317,0.175,0.019,-0.295,0.013,-0.093,0.314,0.118
'0:00.921',0.452,0.621,0.170,-0.536,0.141,0.396,-0.033,-0.318,0.172,0.017,-0.293,0.019,-0.102,0.309,0.118
'0:00.922',0.450,0.621,0.172,-0.535,0.139,0.397,-0.034,-0.324,0.162,0.009,-0.300,0.015,-0.105,0.309,0.118
'0:00.923',0.432,0.600,0.169,-0.516,0.132,0.384,-0.045,-0.336,0.143,-0.009,-0.315,0.007,-0.106,0.309,0.130
'0:00.924',0.434,0.615,0.181,-0.524,0.127,0.398,-0.057,-0.345,0.135,-0.015,-0.319,0.005,-0.119,0.314,0.135
'0:00.925',0.438,0.620,0.182,-0.529,0.128,0.401,-0.053,-0.344,0.131,-0.014,-0.317,0.015,-0.106,0.315,0.141
'0:00.926',0.436,0.613,0.177,-0.524,0.130,0.395,-0.050,-0.344,0.122,-0.021,-0.323,0.018,-0.105,0.311,0.142
'0:00.927',0.440,0.619,0.180,-0.529,0.130,0.400,-0.056,-0.348,0.115,-0.028,-0.329,0.014,-0.111,0.315,0.146
'0:00.928',0.448,0.623,0.176,-0.535,0.136,0.400,-0.064,-0.358,0.103,-0.036,-0.334,0.016,-0.109,0.315,0.153
'0:00.929',0.446,0.621,0.176,-0.533,0.135,0.399,-0.076,-0.368,0.091,-0.046,-0.342,0.011,-0.117,0.320,0.154
'0:00.930',0.434,0.611,0.176,-0.522,0.129,0.394,-0.069,-0.365,0.087,-0.052,-0.347,0.008,-0.120,0.319,0.158
'0:00.931',0.418,0.607,0.188,-0.512,0.116,0.397,-0.066,-0.368,0.080,-0.058,-0.353,0.013,-0.121,0.327,0.161
'0:00.932',0.423,0.611,0.188,-0.517,0.118,0.400,-0.074,-0.378,0.070,-0.066,-0.359,0.005,-0.119,0.334,0.171
'0:00.933',0.436,0.617,0.181,-0.526,0.128,0.399,-0.081,-0.382,0.066,-0.071,-0.365,-0.006,-0.133,0.323,0.170
'0:00.934',0.429,0.613,0.183,-0.521,0.123,0.399,-0.093,-0.388,0.059,-0.078,-0.368,-0.005,-0.137,0.316,0.173
'0:00.935',0.440,0.626,0.187,-0.533,0.127,0.407,-0.076,-0.384,0.059,-0.079,-0.367,0.000,-0.131,0.330,0.176
'0:00.936',0.447,0.628,0.181,-0.537,0.133,0.405,-0.080,-0.387,0.050,-0.087,-0.374,0.000,-0.131,0.328,0.179
'0:00.937',0.426,0.609,0.183,-0.517,0.121,0.396,-0.095,-0.401,0.037,-0.098,-0.385,-0.009,-0.132,0.318,0.189
'0:00.938',0.406,0.607,0.201,-0.506,0.102,0.404,-0.085,-0.395,0.040,-0.097,-0.384,-0.013,-0.142,0.323,0.185
'0:00.939',0.410,0.614,0.204,-0.512,0.103,0.409,-0.086,-0.393,0.037,-0.100,-0.385,-0.018,-0.152,0.328,0.180
'0:00.940',0.410,0.615,0.205,-0.513,0.102,0.410,-0.087,-0.395,0.032,-0.103,-0.386,-0.009,-0.144,0.330,0.179
'0:00.941',0.418,0.606,0.188,-0.512,0.115,0.397,-0.091,-0.398,0.024,-0.114,-0.396,-0.017,-0.139,0.317,0.191
'0:00.942',0.430,0.609,0.179,-0.519,0.126,0.394,-0.087,-0.396,0.026,-0.114,-0.396,-0.028,-0.148,0.320,0.190
'0:00.943',0.420,0.613,0.193,-0.516,0.114,0.403,-0.085,-0.392,0.030,-0.110,-0.390,-0.022,-0.152,0.326,0.183
'0:00.944',0.425,0.610,0.184,-0.517,0.120,0.397,-0.091,-0.402,0.025,-0.115,-0.397,-0.026,-0.147,0.315,0.188
'0:00.945',0.425,0.600,0.174,-0.512,0.125,0.387,-0.086,-0.394,0.027,-0.113,-0.398,-0.025,-0.145,0.308,0.186
'0:00.946',0.426,0.594,0.169,-0.510,0.129,0.381,-0.088,-0.390,0.028,-0.114,-0.400,-0.029,-0.150,0.308,0.188
'0:00.947',0.427,0.596,0.170,-0.511,0.129,0.383,-0.076,-0.387,0.030,-0.113,-0.399,-0.027,-0.147,0.310,0.186
'0:00.948',0.424,0.591,0.167,-0.508,0.129,0.379,-0.072,-0.384,0.032,-0.111,-0.397,-0.023,-0.146,0.302,0.185
'0:00.949',0.428,0.591,0.163,-0.509,0.133,0.377,-0.075,-0.387,0.034,-0.111,-0.398,-0.028,-0.146,0.303,0.184
'0:00.950',0.429,0.589,0.160,-0.508,0.135,0.374,-0.067,-0.382,0.035,-0.111,-0.400,-0.030,-0.148,0.298,0.181
'0:00.951',0.432,0.583,0.151,-0.507,0.141,0.367,-0.063,-0.374,0.043,-0.108,-0.401,-0.037,-0.151,0.297,0.176
'0:00.952',0.438,0.590,0.152,-0.514,0.142,0.371,-0.059,-0.361,0.053,-0.101,-0.397,-0.031,-0.144,0.296,0.172
'0:00.953',0.433,0.583,0.150,-0.508,0.141,0.366,-0.055,-0.363,0.052,-0.102,-0.399,-0.030,-0.145,0.285,0.174
'0:00.954',0.432,0.575,0.143,-0.503,0.144,0.359,-0.050,-0.362,0.057,-0.098,-0.397,-0.030,-0.147,0.288,0.170
'0:00.955',0.440,0.583,0.144,-0.511,0.148,0.363,-0.046,-0.350,0.068,-0.090,-0.389,-0.022,-0.138,0.288,0.164
'0:00.956',0.428,0.572,0.143,-0.500,0.143,0.357,-0.038,-0.344,0.074,-0.088,-0.390,-0.027,-0.146,0.278,0.160
'0:00.957',0.432,0.571,0.139,-0.502,0.146,0.355,-0.029,-0.336,0.082,-0.085,-0.389,-0.026,-0.146,0.273,0.158
'0:00.958',0.449,0.570,0.121,-0.509,0.163,0.345,-0.025,-0.329,0.090,-0.081,-0.386,-0.024,-0.137,0.264,0.160
'0:00.959',0.447,0.552,0.105,-0.499,0.171,0.329,-0.025,-0.328,0.092,-0.079,-0.387,-0.034,-0.142,0.254,0.160
'0:00.960',0.444,0.546,0.102,-0.495,0.171,0.325,-0.020,-0.319,0.102,-0.073,-0.384,-0.032,-0.143,0.251,0.152
'0:00.961',0.435,0.529,0.095,-0.482,0.171,0.312,-0.012,-0.308,0.111,-0.069,-0.383,-0.032,-0.141,0.240,0.146
'0:00.962',0.417,0.514,0.098,-0.466,0.160,0.306,-0.008,-0.305,0.117,-0.066,-0.384,-0.037,-0.144,0.236,0.139
'0:00.963',0.422,0.513,0.091,-0.468,0.166,0.302,-0.002,-0.296,0.126,-0.060,-0.380,-0.029,-0.135,0.230,0.138
'0:00.964',0.445,0.523,0.079,-0.484,0.182,0.301,0.007,-0.285,0.137,-0.052,-0.377,-0.032,-0.135,0.225,0.134
'0:00.965',0.451,0.518,0.068,-0.484,0.192,0.293,0.019,-0.273,0.148,-0.043,-0.370,-0.033,-0.138,0.220,0.129
'0:00.966',0.453,0.517,0.066,-0.485,0.194,0.291,0.028,-0.262,0.164,-0.031,-0.361,-0.026,-0.134,0.222,0.123
'0:00.967',0.450,0.513,0.065,-0.481,0.193,0.289,0.032,-0.259,0.174,-0.024,-0.360,-0.031,-0.139,0.231,0.112
'0:00.968',0.455,0.501,0.047,-0.478,0.203,0.274,0.035,-0.249,0.182,-0.018,-0.357,-0.030,-0.129,0.221,0.113
'0:00.969',0.463,0.504,0.042,-0.483,0.211,0.273,0.043,-0.236,0.198,-0.006,-0.347,-0.025,-0.122,0.206,0.106
'0:00.970',0.463,0.505,0.043,-0.483,0.210,0.274,0.054,-0.227,0.213,0.004,-0.339,-0.018,-0.118,0.218,0.097
'0:00.971',0.462,0.498,0.038,-0.480,0.212,0.268,0.051,-0.223,0.221,0.009,-0.339,-0.024,-0.121,0.214,0.093
'0:00.972',0.456,0.482,0.027,-0.469,0.214,0.255,0.059,-0.217,0.225,0.009,-0.343,-0.039,-0.130,0.206,0.089
'0:00.973',0.457,0.481,0.025,-0.469,0.215,0.253,0.076,-0.203,0.241,0.021,-0.331,-0.035,-0.127,0.212,0.077
'0:00.974',0.469,0.483,0.015,-0.476,0.227,0.249,0.081,-0.189,0.258,0.037,-0.321,-0.027,-0.123,0.196,0.069
'0:00.975',0.480,0.488,0.009,-0.484,0.236,0.248,0.093,-0.176,0.272,0.048,-0.315,-0.024,-0.115,0.204,0.065
'0:00.976',0.483,0.491,0.009,-0.487,0.237,0.250,0.097,-0.170,0.284,0.059,-0.309,-0.022,-0.109,0.203,0.058
'0:00.977',0.487,0.488,0.002,-0.487,0.243,0.245,0.102,-0.158,0.297,0.068,-0.303,-0.022,-0.104,0.185,0.058
'0:00.978',0.478,0.476,-0.001,-0.477,0.239,0.237,0.111,-0.150,0.312,0.081,-0.294,-0.018,-0.099,0.184,0.049
'0:00.979',0.465,0.459,-0.006,-0.462,0.235,0.227,0.118,-0.141,0.326,0.092,-0.288,-0.017,-0.097,0.181,0.037
'0:00.980',0.477,0.463,-0.014,-0.470,0.246,0.225,0.129,-0.126,0.343,0.104,-0.281,-0.013,-0.089,0.173,0.033
'0:00.981',0.483,0.461,-0.022,-0.472,0.253,0.219,0.135,-0.117,0.357,0.117,-0.273,-0.011,-0.086,0.160,0.028
'0:00.982',0.482,0.450,-0.033,-0.466,0.258,0.208,0.149,-0.104,0.366,0.125,-0.271,-0.013,-0.087,0.159,0.019
'0:00.983',0.490,0.449,-0.041,-0.469,0.266,0.204,0.143,-0.101,0.378,0.136,-0.264,-0.009,-0.086,0.155,0.013
'0:00.984',0.491,0.449,-0.042,-0.469,0.267,0.203,0.149,-0.094,0.390,0.144,-0.258,-0.009,-0.085,0.153,0.008
'0:00.985',0.489,0.440,-0.049,-0.465,0.269,0.196,0.167,-0.081,0.403,0.153,-0.253,-0.013,-0.080,0.147,0.009
'0:00.986',0.493,0.445,-0.048,-0.469,0.271,0.199,0.174,-0.071,0.420,0.170,-0.239,-0.003,-0.072,0.143,0.000
'0:00.987',0.499,0.450,-0.049,-0.474,0.274,0.201,0.181,-0.059,0.436,0.183,-0.229,0.002,-0.069,0.143,-0.009
'0:00.988',0.494,0.444,-0.051,-0.469,0.273,0.197,0.182,-0.053,0.446,0.192,-0.223,-0.004,-0.071,0.141,-0.012
'0:00.989',0.490,0.434,-0.055,-0.463,0.273,0.190,0.189,-0.047,0.452,0.194,-0.223,-0.011,-0.069,0.135,-0.016
'0:00.990',0.498,0.432,-0.066,-0.465,0.282,0.183,0.189,-0.044,0.464,0.203,-0.216,-0.003,-0.059,0.138,-0.022
'0:00.991',0.499,0.435,-0.064,-0.468,0.281,0.186,0.202,-0.031,0.480,0.218,-0.205,0.004,-0.052,0.149,-0.029
'0:00.992',0.499,0.430,-0.068,-0.465,0.283,0.181,0.208,-0.022,0.486,0.221,-0.205,-0.003,-0.052,0.137,-0.032
'0:00.993',0.506,0.430,-0.075,-0.469,0.290,0.178,0.210,-0.019,0.495,0.227,-0.201,-0.003,-0.051,0.131,-0.036
'0:00.994',0.510,0.424,-0.085,-0.467,0.297,0.170,0.219,-0.007,0.510,0.239,-0.193,0.004,-0.046,0.125,-0.041
'0:00.995',0.515,0.430,-0.085,-0.473,0.299,0.173,0.222,-0.006,0.521,0.247,-0.185,0.006,-0.044,0.129,-0.049
'0:00.996',0.514,0.427,-0.086,-0.470,0.300,0.171,0.226,0.000,0.532,0.256,-0.177,0.009,-0.035,0.134,-0.053
'0:00.997',0.511,0.411,-0.100,-0.462,0.306,0.155,0.216,0.004,0.537,0.259,-0.175,0.009,-0.030,0.122,-0.052
'0:00.998',0.528,0.427,-0.101,-0.478,0.315,0.164,0.233,0.019,0.552,0.271,-0.168,0.016,-0.029,0.116,-0.063
'0:00.999',0.523,0.421,-0.102,-0.472,0.312,0.160,0.252,0.033,0.567,0.284,-0.157,0.025,-0.024,0.116,-0.066
'0:01.000',0.517,0.415,-0.102,-0.466,0.309,0.157,0.253,0.034,0.576,0.292,-0.149,0.025,-0.022,0.116,-0.071
'0:01.001',0.531,0.419,-0.112,-0.475,0.322,0.154,0.256,0.040,0.584,0.298,-0.148,0.018,-0.025,0.104,-0.079
'0:01.002',0.530,0.410,-0.119,-0.470,0.325,0.145,0.255,0.043,0.587,0.302,-0.147,0.018,-0.025,0.100,-0.081
'0:01.003',0.536,0.411,-0.124,-0.474,0.331,0.143,0.261,0.050,0.598,0.311,-0.139,0.021,-0.021,0.100,-0.088
'0:01.004',0.531,0.411,-0.120,-0.471,0.326,0.145,0.263,0.057,0.608,0.323,-0.129,0.029,-0.013,0.098,-0.087
'0:01.005',0.527,0.408,-0.119,-0.468,0.324,0.145,0.271,0.068,0.620,0.333,-0.120,0.037,-0.007,0.095,-0.087
'0:01.006',0.535,0.407,-0.128,-0.471,0.332,0.140,0.276,0.074,0.631,0.340,-0.113,0.036,-0.006,0.098,-0.095
'0:01.007',0.538,0.411,-0.126,-0.474,0.332,0.142,0.276,0.076,0.638,0.347,-0.102,0.048,-0.002,0.097,-0.102
'0:01.008',0.536,0.403,-0.134,-0.469,0.335,0.135,0.281,0.080,0.641,0.348,-0.104,0.038,-0.002,0.091,-0.103
'0:01.009',0.537,0.404,-0.133,-0.470,0.335,0.135,0.287,0.086,0.650,0.354,-0.102,0.032,-0.004,0.097,-0.105
'0:01.010',0.546,0.414,-0.132,-0.480,0.339,0.141,0.286,0.087,0.656,0.359,-0.095,0.039,-0.002,0.090,-0.111
'0:01.011',0.536,0.405,-0.132,-0.470,0.335,0.137,0.293,0.095,0.662,0.366,-0.090,0.043,0.005,0.088,-0.114
'0:01.012',0.540,0.405,-0.135,-0.472,0.338,0.135,0.297,0.101,0.672,0.372,-0.084,0.049,0.011,0.095,-0.115
'0:01.013',0.549,0.405,-0.144,-0.476,0.347,0.130,0.294,0.098,0.674,0.375,-0.083,0.044,0.013,0.087,-0.114
'0:01.014',0.547,0.400,-0.146,-0.473,0.347,0.127,0.300,0.103,0.685,0.384,-0.077,0.046,0.013,0.081,-0.118
'0:01.015',0.548,0.406,-0.141,-0.477,0.344,0.132,0.303,0.106,0.693,0.388,-0.074,0.051,0.013,0.095,-0.124
'0:01.016',0.547,0.406,-0.141,-0.476,0.344,0.132,0.308,0.113,0.697,0.391,-0.073,0.051,0.014,0.094,-0.127
'0:01.017',0.550,0.401,-0.149,-0.475,0.349,0.126,0.304,0.111,0.697,0.393,-0.073,0.048,0.013,0.089,-0.122
'0:01.018',0.553,0.403,-0.150,-0.478,0.351,0.126,0.297,0.101,0.700,0.397,-0.069,0.052,0.013,0.104,-0.129
'0:01.019',0.565,0.404,-0.161,-0.484,0.362,0.121,0.306,0.119,0.712,0.405,-0.064,0.056,0.020,0.093,-0.134
'0:01.020',0.563,0.397,-0.166,-0.479,0.364,0.116,0.307,0.129,0.717,0.408,-0.061,0.056,0.021,0.082,-0.135
'0:01.021',0.554,0.404,-0.151,-0.479,0.353,0.126,0.301,0.119,0.720,0.411,-0.059,0.053,0.013,0.086,-0.144
'0:01.022',0.557,0.405,-0.151,-0.480,0.354,0.127,0.315,0.127,0.725,0.417,-0.057,0.051,0.015,0.086,-0.145
'0:01.023',0.555,0.398,-0.158,-0.476,0.357,0.119,0.320,0.132,0.729,0.421,-0.051,0.051,0.010,0.085,-0.148
'0:01.024',0.552,0.401,-0.151,-0.476,0.352,0.124,0.322,0.132,0.736,0.428,-0.043,0.056,0.021,0.090,-0.147
'0:01.025',0.558,0.400,-0.159,-0.479,0.359,0.120,0.329,0.139,0.741,0.434,-0.037,0.060,0.038,0.091,-0.139
'0:01.026',0.573,0.404,-0.169,-0.488,0.370,0.118,0.331,0.147,0.747,0.436,-0.037,0.056,0.030,0.090,-0.143
'0:01.027',0.561,0.401,-0.160,-0.481,0.360,0.120,0.334,0.148,0.749,0.438,-0.036,0.052,0.021,0.086,-0.151
'0:01.028',0.553,0.397,-0.156,-0.475,0.355,0.120,0.328,0.143,0.748,0.439,-0.035,0.055,0.025,0.077,-0.148
'0:01.029',0.552,0.395,-0.158,-0.473,0.355,0.118,0.325,0.146,0.749,0.439,-0.036,0.055,0.030,0.079,-0.150
'0:01.030',0.547,0.387,-0.160,-0.468,0.353,0.114,0.325,0.145,0.748,0.441,-0.038,0.046,0.025,0.080,-0.154
'0:01.031',0.546,0.382,-0.164,-0.465,0.355,0.109,0.326,0.147,0.754,0.445,-0.034,0.049,0.030,0.079,-0.156
'0:01.032',0.550,0.392,-0.159,-0.471,0.354,0.117,0.330,0.154,0.760,0.451,-0.029,0.054,0.032,0.084,-0.160
'0:01.033',0.568,0.403,-0.165,-0.485,0.366,0.119,0.327,0.151,0.759,0.451,-0.030,0.053,0.028,0.085,-0.162
'0:01.034',0.559,0.392,-0.167,-0.475,0.363,0.113,0.329,0.153,0.766,0.454,-0.026,0.058,0.032,0.083,-0.163
'0:01.035',0.560,0.398,-0.162,-0.479,0.361,0.118,0.333,0.162,0.772,0.460,-0.020,0.062,0.041,0.083,-0.160
'0:01.036',0.562,0.400,-0.162,-0.481,0.362,0.119,0.330,0.155,0.769,0.459,-0.021,0.069,0.045,0.085,-0.164
'0:01.037',0.559,0.396,-0.163,-0.477,0.360,0.117,0.334,0.157,0.772,0.461,-0.025,0.060,0.036,0.087,-0.169
'0:01.038',0.562,0.395,-0.168,-0.478,0.365,0.114,0.336,0.162,0.775,0.463,-0.028,0.049,0.029,0.083,-0.167
'0:01.039',0.557,0.388,-0.169,-0.473,0.363,0.110,0.334,0.161,0.778,0.467,-0.024,0.056,0.035,0.081,-0.167
'0:01.040',0.568,0.397,-0.171,-0.482,0.369,0.114,0.338,0.171,0.787,0.475,-0.015,0.065,0.036,0.075,-0.169
'0:01.041',0.576,0.406,-0.169,-0.491,0.372,0.119,0.337,0.170,0.790,0.480,-0.009,0.068,0.039,0.081,-0.174
'0:01.042',0.573,0.402,-0.171,-0.487,0.372,0.116,0.338,0.165,0.787,0.477,-0.011,0.066,0.046,0.085,-0.173
'0:01.043',0.567,0.393,-0.173,-0.480,0.370,0.110,0.335,0.164,0.782,0.472,-0.017,0.063,0.046,0.071,-0.173
'0:01.044',0.558,0.391,-0.167,-0.475,0.362,0.113,0.333,0.161,0.781,0.470,-0.018,0.061,0.040,0.069,-0.176
'0:01.045',0.564,0.395,-0.169,-0.479,0.366,0.113,0.338,0.169,0.788,0.475,-0.012,0.064,0.035,0.062,-0.176
'0:01.046',0.561,0.390,-0.171,-0.476,0.366,0.110,0.333,0.166,0.788,0.473,-0.011,0.062,0.044,0.066,-0.170
'0:01.047',0.556,0.391,-0.166,-0.473,0.361,0.113,0.339,0.167,0.786,0.470,-0.013,0.059,0.043,0.075,-0.172
'0:01.048',0.566,0.401,-0.165,-0.483,0.365,0.118,0.338,0.170,0.791,0.476,-0.008,0.066,0.044,0.075,-0.175
'0:01.049',0.568,0.403,-0.165,-0.485,0.366,0.119,0.333,0.163,0.794,0.479,-0.005,0.065,0.046,0.084,-0.176
'0:01.050',0.562,0.405,-0.157,-0.483,0.359,0.124,0.340,0.171,0.798,0.481,-0.002,0.065,0.048,0.093,-0.181
'0:01.051',0.561,0.398,-0.164,-0.479,0.362,0.117,0.336,0.172,0.799,0.481,-0.002,0.069,0.056,0.094,-0.174
'0:01.052',0.563,0.392,-0.171,-0.477,0.367,0.111,0.331,0.167,0.795,0.478,-0.005,0.071,0.056,0.083,-0.175
'0:01.053',0.557,0.389,-0.167,-0.473,0.362,0.111,0.329,0.163,0.794,0.477,-0.003,0.076,0.062,0.071,-0.174
'0:01.054',0.551,0.386,-0.165,-0.469,0.358,0.111,0.342,0.171,0.801,0.483,0.003,0.071,0.053,0.077,-0.178
'0:01.055',0.559,0.400,-0.158,-0.479,0.358,0.121,0.350,0.180,0.808,0.490,0.006,0.066,0.043,0.085,-0.186
'0:01.056',0.567,0.402,-0.165,-0.484,0.365,0.118,0.341,0.172,0.803,0.486,0.004,0.062,0.041,0.084,-0.188
'0:01.057',0.559,0.394,-0.165,-0.476,0.362,0.115,0.341,0.171,0.800,0.484,0.003,0.061,0.036,0.086,-0.189
'0:01.058',0.554,0.388,-0.167,-0.471,0.360,0.111,0.344,0.172,0.797,0.483,0.002,0.060,0.049,0.087,-0.177
'0:01.059',0.558,0.393,-0.165,-0.475,0.362,0.114,0.346,0.175,0.802,0.488,0.007,0.065,0.049,0.091,-0.180
'0:01.060',0.552,0.386,-0.167,-0.469,0.359,0.110,0.348,0.178,0.804,0.489,0.007,0.066,0.042,0.083,-0.189
'0:01.061',0.550,0.378,-0.172,-0.464,0.360,0.103,0.345,0.174,0.800,0.487,0.005,0.062,0.046,0.077,-0.181
'0:01.062',0.560,0.392,-0.168,-0.476,0.363,0.113,0.345,0.175,0.803,0.491,0.009,0.067,0.046,0.082,-0.180
'0:01.063',0.567,0.394,-0.172,-0.480,0.369,0.111,0.345,0.173,0.802,0.489,0.008,0.066,0.046,0.073,-0.185
'0:01.064',0.563,0.393,-0.169,-0.478,0.366,0.112,0.345,0.175,0.803,0.489,0.009,0.065,0.050,0.084,-0.185
'0:01.065',0.553,0.382,-0.171,-0.468,0.362,0.105,0.346,0.179,0.802,0.486,0.004,0.061,0.048,0.083,-0.180
'0:01.066',0.560,0.385,-0.174,-0.472,0.367,0.105,0.347,0.182,0.805,0.491,0.008,0.064,0.050,0.067,-0.179
